ssd,Km_g3p,kcat_f,Keq
0,0.00103,27025.299764582207,9.35
5.417716690797542e-7,0.05064258691830813,9.113031117380883e-8,1.0419601960803023e-7
5.417716691389482e-7,0.05064327258515135,2.9431329977880783e-7,1.0649859603820812e-7
5.417716691958124e-7,0.050641239007557,1.8259933763862807e-7,1.9629943778605388e-7
5.417716692127537e-7,0.05064158563423359,5.016719417378715e-7,3.8511163598561446e-7
5.417716692846982e-7,0.05064074596369277,9.731621999178896e-8,6.735466373590211e-8
5.417716693038776e-7,0.05064271990166243,9.792456945424827e-7,3.528752619876223e-7
5.417716693402986e-7,0.05064407819528092,4.5751586303055376e-7,4.6800469144752004e-7
5.417716693903859e-7,0.05064035350296933,9.965903889519302e-8,9.959084774920561e-8
5.417716694712562e-7,0.05064010208372758,1.433261598282729e-7,1.1570852178954222e-7
5.417716694870148e-7,0.050640126565412634,3.187216389507169e-7,2.147201252213524e-7
5.417716698364614e-7,0.05063941319194079,3.669372665933343e-7,6.430013930690756e-7
5.417716698953854e-7,0.050645149870665714,1.084704475593498e-6,6.360929988321316e-7
5.417716700345483e-7,0.050638863046348105,1.1249454729159142e-7,5.186611639282757e-7
5.417716703115958e-7,0.050638249053942104,8.668852629986194e-8,9.728817632668338e-8
5.417716703182028e-7,0.05063844999243597,5.369810791174067e-7,5.578053432106771e-7
5.41771670398229e-7,0.050646478556891285,9.202492096048415e-7,4.610963162090448e-7
5.417716706522704e-7,0.05063770355389258,4.637762402131261e-8,1.5485289105663224e-7
5.41771670680959e-7,0.050637655924238516,4.8712810321187416e-8,1.0189384214569864e-7
5.417716706822358e-7,0.05063889638076495,1.8595175345277591e-6,1.617607343379791e-7
5.417716708490337e-7,0.05064686746966311,1.4042156380531986e-6,4.196503964290959e-7
5.417716712554923e-7,0.05064052479198638,3.0276063460075767e-6,2.745871124059772e-7
5.417716713709918e-7,0.050636707799459654,1.5917478317769674e-8,2.590832598963805e-8
5.417716720926797e-7,0.05064169726579452,3.7840313592065685e-6,1.536935474907422e-7
5.417716727362118e-7,0.05064921062266164,1.5960366549685462e-6,1.9169445591191795e-7
5.417716729973559e-7,0.05063575697156478,1.9727139986550215e-6,2.360533159314502e-8
5.417716732584737e-7,0.050634690567402524,2.4593137022437325e-8,9.268332744182956e-8
5.417716736470886e-7,0.05064370060153767,4.640970262896029e-6,4.777421476839838e-8
5.417716737002005e-7,0.05063630826127496,3.0681816567491274e-6,4.772148831774183e-7
5.417716743056715e-7,0.05063612130825228,3.404075778650827e-6,4.403734323129459e-7
5.41771674586001e-7,0.05064472931184298,4.987794017285353e-6,1.6697488311798165e-8
5.417716748088822e-7,0.05063678846374339,4.071085097270948e-6,5.508975759232058e-7
5.417716753378071e-7,0.050633034235512006,7.378454658450142e-7,3.8564479001752985e-8
5.417716754112537e-7,0.05063608047077746,4.053870062891825e-6,7.097760715472963e-7
5.417716757007094e-7,0.050645533771413,5.369331942897624e-6,5.3539357142585806e-8
5.417716763148682e-7,0.050650704616518764,3.4512068900618142e-6,7.028681902690117e-7
5.417716771571472e-7,0.050652604267439755,2.1903390442775797e-6,2.837977790975973e-7
5.417716773376489e-7,0.0506517631916466,3.0914934048298553e-6,1.2716067533468677e-6
5.417716774279783e-7,0.05063147269834373,7.627612048843445e-8,4.316923289426246e-8
5.417716785153385e-7,0.05064724845359077,6.154944018531075e-6,2.3774628849097746e-7
5.417716785832277e-7,0.05064746445142123,6.127217394878787e-6,1.5255040961879873e-7
5.417716788128692e-7,0.0506308245821796,9.813027686925967e-7,9.158492716438257e-7
5.417716792946573e-7,0.05065372225120458,2.5188390983370485e-6,9.469422417913104e-7
5.417716795456243e-7,0.05063015545464052,3.5580841911518093e-8,2.0143392598608206e-8
5.417716810421541e-7,0.0506293155048808,2.9941730387324457e-7,1.0649880502136569e-7
5.417716819500023e-7,0.05064935403612505,6.785353778242706e-6,5.50897385938517e-7
5.417716824840231e-7,0.050629330505186275,2.6218430214032242e-6,5.555027287835614e-7
5.41771682997591e-7,0.0506502333037713,6.8641738710640645e-6,3.051342185458719e-8
5.417716835120777e-7,0.05062801065026108,1.405841301836637e-7,6.505227729041294e-8
5.417716838033791e-7,0.05062786629105759,9.346007253678365e-8,1.5485321403060306e-7
5.417716848574707e-7,0.05065111473310616,7.160796349752943e-6,6.274947287860861e-8
5.417716855570436e-7,0.05062720215924844,1.3514314058578883e-6,2.4925907564952247e-7
5.417716867016208e-7,0.05062656373138861,8.810710422278363e-7,1.0994465231276913e-7
5.41771688340933e-7,0.050625764882027996,1.371484624532431e-7,9.038050403155637e-8
5.417716883928036e-7,0.05062574169254351,1.335738059548517e-7,4.7774404753087085e-8
5.417716891168055e-7,0.0506324672787857,1.1705204620422862e-7,7.954851978557079e-6
5.417716892610912e-7,0.05062537123529264,1.3639288854937523e-7,1.3987824089742588e-7
5.417716894832933e-7,0.050625277711865875,1.451416290963009e-7,1.4794533275231844e-7
5.417716900143415e-7,0.050625058799384184,2.8497931219301524e-7,4.8933748318977155e-8
5.417716913154683e-7,0.050624547863047285,1.2431458288405287e-7,5.808311645078624e-7
5.417716922574498e-7,0.0506242176623915,1.4175566078780269e-7,9.492447992230194e-7
5.417716937474438e-7,0.050623578879881774,4.5950790524477774e-7,5.007720916489142e-8
5.41771694957316e-7,0.0506231224882404,4.897868742095197e-7,6.159012931271854e-8
5.417716965924022e-7,0.050635578100058774,3.314375295076781e-8,0.000010807754985676256
5.417716981233634e-7,0.050656917987612855,8.406337968034598e-6,2.2393033594971954e-7
5.41771700009975e-7,0.05065676875232062,9.012802742800212e-6,6.274989084492376e-8
5.417717000307776e-7,0.05065692816111342,8.933546447360227e-6,5.4682077048214116e-8
5.417717016711259e-7,0.05066410256461324,1.2198423729710423e-6,4.668451578969413e-7
5.417717050617157e-7,0.050658042066130726,9.597088625539079e-6,9.193113056307069e-7
5.417717053742743e-7,0.05065697593455585,0.00001019261042758762,1.1035181419867542e-6
5.417717068492378e-7,0.050658870181265844,9.629077889995176e-6,2.2507387278950928e-7
5.417717078320897e-7,0.05065812415427718,0.000010238484017086982,7.903662086065843e-7
5.417717132777585e-7,0.050663028366363674,8.51960216983551e-6,3.4827016612267314e-7
5.417717134123718e-7,0.050663373001076664,8.240310466487208e-6,8.387206936096972e-7
5.41771714782174e-7,0.05066292396158917,9.015991219175064e-6,2.999157571134358e-7
5.417717158929247e-7,0.05066302543781782,9.232160752881219e-6,3.413623988352018e-7
5.417717160670867e-7,0.050662981413272815,9.310499991680234e-6,3.229415024167457e-7
5.417717168476466e-7,0.050618598696970114,1.8394905655478937e-7,6.381043287345232e-6
5.41771718028072e-7,0.05066296259198626,9.815226926730179e-6,3.989268095896487e-7
5.41771718341508e-7,0.05066218102990297,0.000010413594155297592,6.27499288418615e-8
5.417717189544649e-7,0.05066283429855371,0.000010129710747665282,3.0452104296307365e-7
5.417717194219728e-7,0.0506611314041588,0.00001126776652962741,2.6651998255414687e-7
5.417717201093631e-7,0.05066221132211167,0.000010778780149953112,6.234210200954473e-7
5.417717201149213e-7,0.050662297351659336,0.00001074555149606679,4.025395584300803e-9
5.417717201245578e-7,0.050662711890023186,0.000010382729239302126,1.4811417024532452e-6
5.417717201300056e-7,0.05066227274940679,0.000010763972279882807,8.630548444656558e-9
5.417717202967992e-7,0.05066212228787136,0.000010794421804556043,1.4558133807197573e-6
5.417717204124127e-7,0.05066212653672284,0.000010781600390226478,1.7021901796584536e-6
5.417717205804389e-7,0.05066267515841147,0.000010615270801808189,5.123657172925036e-8
5.41771720678578e-7,0.050662227002369796,0.000010912522950096158,1.559958959392936e-7
5.417717208443861e-7,0.05066226058036371,0.000010916047395640115,5.532002473457279e-7
5.417717211233253e-7,0.0506638613828084,9.906181889943543e-6,8.824698357677656e-7
5.417717214869597e-7,0.05066240300916103,0.000010985599152035137,1.553854371375438e-8
5.41771722571942e-7,0.050662087032248275,0.000011404578457533509,2.935360332697536e-8
5.417717240147862e-7,0.05066343598061246,0.00001088632547211919,5.670155539390443e-7
5.417717240947015e-7,0.05066224429579445,0.000011633608793572627,7.656521643670893e-8
5.417717244364625e-7,0.05066223668608466,0.000011708445367343576,7.886758388372923e-8
5.417717248314451e-7,0.05066224039569818,0.000011787678132288026,2.882466695514924e-9
5.417717253302904e-7,0.05066297357990159,0.00001146485918522582,3.1833653954107863e-7
5.417717253529317e-7,0.05066313401834962,0.0000113755075129792,2.377459845154755e-7
5.417717255706526e-7,0.05066390689892085,0.000010928476437610473,5.163586824904422e-7